Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313342,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313344,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313347,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313348,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313353,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313355,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313375,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313376,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-05,Branch Closings,2020-LB-BranchClosing-314401,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Consummated/Effective,2020-05-05,Relocation,2020-HQ-Relocation-313136,ETHIC,579 Boylston Street,Boston,MA,Suffolk,2020-03-07
Consummated/Effective,2020-05-05,Relocation,2020-HQ-Relocation-313145,ETHIC,579 Boylston Street,Boston,MA,Suffolk,2020-03-07
Approved,2020-05-05,Branch Establishment,2020-LB-BranchNew-314144,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-29
Approved,2020-05-05,Branch Establishment,2020-LB-BranchNew-314145,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-01
Approved,2020-05-05,Branch Establishment,2020-LB-BranchNew-314146,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-01
Approved,2020-05-05,Branch Establishment,2020-LB-BranchNew-314147,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-02
Receipt,2020-05-05,Branch Closings,2020-LB-BranchClosing-314399,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle, 
Receipt,2020-05-05,Branch Closings,2020-LB-BranchClosing-314402,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314403,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314404,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314405,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314406,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314407,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314409,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314411,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314412,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314413,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314414,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314415,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314416,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314418,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314419,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314420,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314421,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314422,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314423,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-05,Branch Closings,2020-CE-BranchClosing-314424,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Approved,2020-05-05,Relocation,2020-LB-Relocation-314081,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-05-03
Receipt,2020-05-06,Branch Closings,2020-SO-BranchClosing-314605,"BankUnited, NA",14817 Oak Lane,Miami Lakes,FL,Miami-Dade, 
Receipt,2020-05-06,Branch Establishment,2020-LB-BranchNew-314299,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton,2020-06-05
Approved,2020-05-06,Branch Establishment,2020-WE-BranchNew-313955,Hilltop NB,300 Country Club Road,Casper,WY,Natrona,2020-04-26
Receipt,2020-05-06,Branch Closings,2020-LB-BranchClosing-314431,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-06,Subsidiaries & Equities,2020-SO-Subs&Equities-314598,Yoakum NB,301 W. Grand Avenue,Yoakum,TX,Dewitt, 
Receipt,2020-05-07,Subsidiaries & Equities,2020-LB-Subs&Equities-314448,Citibank NA,5800 S Corporate Place,Sioux Falls,SD,Lincoln, 
Receipt,2020-05-07,Branch Closings,2020-LB-BranchClosing-314452,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Receipt,2020-05-07,Relocation,2020-LB-Relocation-314446,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-05-22
Receipt,2020-05-07,Relocation,2020-LB-Relocation-314449,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-06
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314432,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314433,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314434,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314435,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314436,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Receipt,2020-05-07,Branch Establishment,2020-LB-BranchNew-314438,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-05
Consummated/Effective,2020-05-07,Branch Closings,2020-CE-BranchClosing-313140,LCNB NB,2 North Broadway,Lebanon,OH,Warren, 
Receipt,2020-05-08,Subsidiaries & Equities,2020-LB-Subs&Equities-314456,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-08,Branch Establishment,2020-WE-BranchNew-314457,"CIT Bank, NA",95 South Lake Avenue,Pasadena,CA,Los Angeles,2020-06-03
Receipt,2020-05-08,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463,ETHIC,579 Boylston Street,Boston,MA,Suffolk, 
Withdrawn,2020-05-08,Branch Establishment,2020-CE-BranchNew-314371,First Citizens NB of Upper Sandusky,100 North Sandusky,Upper Sandusky,OH,Wyandot,2020-06-07
Consummated/Effective,2020-05-08,Branch Closings,2020-SO-BranchClosing-314603,First NB of Hughes Springs,505 E. First,Hughes Springs,TX,Cass, 
Consummated/Effective,2020-05-08,Branch Closings,2020-NE-BranchClosing-313059,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, 
Consummated/Effective,2020-05-08,Branch Closings,2020-NE-BranchClosing-313121,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, 
Withdrawn,2020-05-10,5.53 Substantial Change in Assets,2020-HQ-5.53-313872,Home Fed Bk of Hollywood,900 North Federal Highway,Hallandale Beach,FL,Broward, 
Consummated/Effective,2020-05-11,Branch Establishment,2018-NE-BranchNew-304998,Canandaigua NB & TR CO,72 South Main Street,Canandaigua,NY,Ontario,2018-09-29
Receipt,2020-05-11,Relocation,2020-LB-Relocation-314470,Citibank NA,5800 S Corporate Place,Sioux Falls,SD,Lincoln,2020-05-26
Consummated/Effective,2020-05-11,Relocation,2020-SO-Relocation-312842,"Classic Bank, N. A.",102 N. Houston,Cameron,TX,Milam,2020-02-13
Approved,2020-05-11,Business Combinations,2020-NE-Combination-311909,"Community Bank, NA",45-49 Court Street,Canton,NY,St. Lawrence,2020-02-02
Receipt,2020-05-11,Branch Closings,2020-SO-BranchClosing-314486,Fifth Dist Svg Bk,4000 General Degaulle Dr,New Orleans,LA,Orleans, 
Approved,2020-05-11,Branch Establishment,2020-SO-BranchNew-312831,First Liberty NB,1900 Sam Houston Avenue,Liberty,TX,Liberty,2020-05-07
Receipt,2020-05-11,Branch Closings,2020-LB-BranchClosing-314469,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Approved,2020-05-11,Business Combinations,2020-CE-Combination-314287,Merchants Bank NA,102 Plaza East,Winona,MN,Winona,2020-05-08
Receipt,2020-05-11,Relocation,2020-LB-Relocation-314476,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-05-27
Consummated/Effective,2020-05-12,Branch Closings,2019-LB-BranchClosing-311296,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg, 
Receipt,2020-05-12,Subsidiaries & Equities,2020-LB-Subs&Equities-314478,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-12,Subsidiaries & Equities,2020-LB-Subs&Equities-314479,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Approved,2020-05-12,Relocation,2020-HQ-Relocation-313136,ETHIC,579 Boylston Street,Boston,MA,Suffolk,2020-03-07
Approved,2020-05-12,Relocation,2020-HQ-Relocation-313145,ETHIC,579 Boylston Street,Boston,MA,Suffolk,2020-03-07
Receipt,2020-05-12,Business Combinations,2020-CE-Combination-314530,First NB of Waterloo,228 South Main Street,Waterloo,IL,Monroe,2020-06-10
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314198,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-08
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314199,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-08
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314215,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314221,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314222,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09
Approved,2020-05-12,Branch Establishment,2020-LB-BranchNew-314262,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-08
Receipt,2020-05-12,Business Combinations,2020-NE-Combination-314690,"Patriot Bank, NA",999 Bedford Street,Stamford,CT,Fairfield,2020-05-19
Receipt,2020-05-13,215a-3: Mergers with Non-Bank Affiliates,2020-NE-215a3-314513,Computershare Tr Co NA,150 Royall Street,Canton,MA,Norfolk, 
Receipt,2020-05-13,Business Combinations,2020-CE-Combination-314103,"First Mid Bank & Trust, NA",1515 Charleston Avenue,Mattoon,IL,Coles,2020-06-12
Receipt,2020-05-13,Branch Establishment,2020-LB-BranchNew-314507,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-12
Receipt,2020-05-13,Branch Establishment,2020-LB-BranchNew-314508,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-12
Approved,2020-05-13,Relocation,2020-LB-Relocation-314152,KeyBank NA,127 Public Square,Cleveland,OH,Cuyahoga,2020-05-05
Approved,2020-05-13,Business Combinations,2020-LB-Combination-314186,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton,2020-05-08
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313187,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313189,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313190,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313191,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313196,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313197,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313198,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-313201,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-314510,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-13,Branch Closings,2020-LB-BranchClosing-314510,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-13,Branch Closings,2020-LB-BranchClosing-314515,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-13,Branch Closings,2020-LB-BranchClosing-314515,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-13,Branch Closings,2020-LB-BranchClosing-314516,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Approved,2020-05-13,Relocation,2020-LB-Relocation-314205,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-05-11
Receipt,2020-05-14,Change in Bank Control,2020-NE-CBCA-314526,"Blackrock Institutional Tr Co., N.A.",400 Howard Street,San Francisco,CA,San Francisco, 
Consummated/Effective,2020-05-14,Subsidiaries & Equities,2020-LB-Subs&Equities-314645,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Approved,2020-05-14,Business Combinations,2020-SO-Combination-313656,"CenterState Bank, NA",1101 First Street South,Winter Haven,FL,Polk,2020-04-04
Receipt,2020-05-14,Branch Closings,2020-LB-BranchClosing-314536,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Receipt,2020-05-14,Relocation,2020-LB-Relocation-314533,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-05-29
Receipt,2020-05-14,Relocation,2020-LB-Relocation-314535,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-13
Withdrawn,2020-05-14,Relocation,2020-LB-Relocation-314535,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-13
Approved,2020-05-14,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463,ETHIC,579 Boylston Street,Boston,MA,Suffolk, 
Consummated/Effective,2020-05-14,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463,ETHIC,579 Boylston Street,Boston,MA,Suffolk, 
Approved,2020-05-14,Business Combinations,2020-CE-Combination-314183,Hiawatha NB,N1555 770th Street & Highway 35,Hager City,WI,Pierce,2020-05-09
Consummated/Effective,2020-05-14,Branch Closings,2020-LB-BranchClosing-313221,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-14,Branch Establishment,2020-LB-BranchNew-314454,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle,2020-06-13
Consummated/Effective,2020-05-14,Branch Closings,2020-LB-BranchClosing-313273,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-14,Branch Closings,2020-LB-BranchClosing-313274,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-15,Business Combinations,2019-CE-Combination-312523,"Bank First, NA",402 North 8th Street,Manitowoc,WI,Manitowoc,2020-02-01
Approved,2020-05-15,Branch Establishment,2020-LB-BranchNew-314244,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-13
Receipt,2020-05-15,Branch Establishment,2020-LB-BranchNew-314539,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-06-14
Approved,2020-05-15,Change in Bank Control,2020-NE-CBCA-314526,"Blackrock Institutional Tr Co., N.A.",400 Howard Street,San Francisco,CA,San Francisco, 
Consummated/Effective,2020-05-15,Change in Bank Control,2020-NE-CBCA-314526,"Blackrock Institutional Tr Co., N.A.",400 Howard Street,San Francisco,CA,San Francisco, 
Consummated/Effective,2020-05-15,Subsidiaries & Equities,2020-LB-Subs&Equities-314643,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-314641,City NB of West Virginia,"3601 Mccorkle Avenue, S.E.",Charleston,WV,Kanawha, 
Consummated/Effective,2020-05-15,Business Combinations,2020-SO-Combination-313794,"Commercial Bank of Texas, NA",215 E. Main Street,Nacogdoches,TX,Nacogdoches,2020-04-16
Consummated/Effective,2020-05-15,5.53 Substantial Change in Assets,2020-HQ-5.53-313605,"First Citizens Bk of Polson, NA",213 First Street West,Polson,MT,Lake, 
Consummated/Effective,2020-05-15,Business Combinations,2019-WE-Combination-312496,"Interim BOSC Bank, NA","12265 El Camino Real, Suite 100",San Diego,CA,San Diego,2020-02-01
Approved,2020-05-15,Branch Establishment,2020-LB-BranchNew-314259,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-14
Approved,2020-05-15,Branch Establishment,2020-LB-BranchNew-314260,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-14
Receipt,2020-05-15,Branch Establishment,2020-LB-BranchNew-314540,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-12
Receipt,2020-05-15,Branch Establishment,2020-LB-BranchNew-314541,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-13
Consummated/Effective,2020-05-15,Business Combinations,2020-CE-Combination-314287,Merchants Bank NA,102 Plaza East,Winona,MN,Winona,2020-05-08
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313205,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313217,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313219,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313236,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313237,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313238,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313239,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313241,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313242,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313243,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313244,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313245,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-NE-BranchClosing-313246,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313147,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313148,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
