Action,Date,Type,ApplicationNumber,BranchName,Location,City,State,County,EndCmtPd
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314415,West Bloomfield,7950 West Maple,West Bloomfield,MI,Oakland, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314411,Westland 2,360 S. MERRIMAN ROAD,WESTLAND,MI,Wayne, 
Consummated/Effective,5/6/2020,Subsidiaries & Equities,2020-SO-Subs&Equities-314598, , , , , , 
Receipt,5/6/2020,Branch Closings,2020-LB-BranchClosing-314431,Merrick Road & Millang,"1696 MERRICK RD, HOLIDAY PARK MALL",MERRICK,NY,Nassau, 
Receipt,5/6/2020,Branch Closings,2020-SO-BranchClosing-314605,South Beach/Alton Road,1695 ALTON ROAD,MIAMI,FL,Miami-Dade, 
Approved,5/6/2020,Branch Establishment,2020-WE-BranchNew-313955,The Compass at Centennial Hills,4140 Centennial Hills Blvd,Casper,WY,Natrona,4/26/2020
Receipt,5/6/2020,Branch Establishment,2020-LB-BranchNew-314299,West End BC,656 South Main Street,Greenville,SC,Greenville,6/5/2020
Receipt,5/7/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314448, , , , , , 
Receipt,5/7/2020,Relocation,2020-LB-Relocation-314446,Abington,1359 Old York Roads,Abington,PA,Montgomery,5/22/2020
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314433,Doylestown,NWC North Main Street and Spruce Street,Doylestown,PA,Bucks,6/5/2020
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314438,Guilderland,NEC Western Avenue and New Kamer Road,Guilderland,NY,Albany,6/5/2020
Receipt,5/7/2020,Branch Closings,2020-LB-BranchClosing-314452,Hyde Park Shaw's,1377 HYDE PARK AVE,HYDE PARK,MA,Suffolk, 
Receipt,5/7/2020,Relocation,2020-LB-Relocation-314449,Hyde Park Shaw's,1377 HYDE PARK AVE,HYDE PARK,MA,Suffolk,6/6/2020
Consummated/Effective,5/7/2020,Branch Closings,2020-CE-BranchClosing-313140,New Paris Office,201 SOUTH WASHINGTON STREET,NEW PARIS,OH,Preble, 
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314432,Portsmouth,SEC Woodbury Avenue and Commerce Way,Portsmouth,NH,Rockingham,6/5/2020
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314435,Saint Charles,SEC Zumbehl Road and Regency Parkway,Saint Charles,MO,St Charles,6/5/2020
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314434,Tualatin Sherwood,SWC SW Tualatin Sherwood Road and SW Boones Ferry Road,Tualatin,OR,Washington,6/5/2020
Receipt,5/7/2020,Branch Establishment,2020-LB-BranchNew-314436,Wethersfield,SWC Mill Street and Silas Deane Highway,Wethersfield,CT,Hartford,6/5/2020
Receipt,5/8/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314456, , , , , , 
Receipt,5/8/2020,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463, , , , , , 
Withdrawn,5/8/2020,Branch Establishment,2020-CE-BranchNew-314371,Delaware Banking Center,45 E. Winter St.,Delaware,OH,Delaware,6/7/2020
Receipt,5/8/2020,Branch Establishment,2020-WE-BranchNew-314457,Jordan Downs,9901 South Alameda Street,Los Angeles,CA,Los Angeles,6/3/2020
Consummated/Effective,5/8/2020,Branch Closings,2020-NE-BranchClosing-313059,Melville,"290 Broadhollow Road, Suite 101E",Melville,NY,Suffolk, 
Consummated/Effective,5/8/2020,Branch Closings,2020-NE-BranchClosing-313121,Milford Lorden Branch,"606 Nashua Street, Rte 101A",Milford,NH,Hillsborough, 
Consummated/Effective,5/8/2020,Branch Closings,2020-SO-BranchClosing-314603,Not Given,305 HIGHWAY 59 NORTH,QUEEN CITY,TX,Cass, 
Withdrawn,5/10/2020,5.53 Substantial Change in Assets,2020-HQ-5.53-313872, , , , , , 
Approved,5/11/2020,Business Combinations,2020-NE-Combination-311909, , , , , ,2/2/2020
Approved,5/11/2020,Business Combinations,2020-CE-Combination-314287, , , , , ,5/8/2020
Consummated/Effective,5/11/2020,Branch Establishment,2018-NE-BranchNew-304998,Brockport Branch,6660 4th Section Road,Brockport,NY,Monroe,9/29/2018
Receipt,5/11/2020,Relocation,2020-LB-Relocation-314476,Coconut Grove,2665 SOUTH BAYSHORE DRIVE,COCONUT GROVE,FL,Dade,5/27/2020
Receipt,5/11/2020,Branch Closings,2020-SO-BranchClosing-314486,Fifth Dist Svg Bk - Mandeville Branch,4650 Highway 22,Mandeville,LA,St Tammany, 
Approved,5/11/2020,Branch Establishment,2020-SO-BranchNew-312831,First Liberty National Bank Dayton Mortgage Center,900 Highway 146,Dayton,TX,Liberty,5/7/2020
Receipt,5/11/2020,Branch Closings,2020-LB-BranchClosing-314469,Nw 23rd and Lovejoy,950 NW 23RD AVENUE,PORTLAND,OR,Multnomah, 
Receipt,5/11/2020,Relocation,2020-LB-Relocation-314470,Rockefeller Plaza Branch,ONE ROCKEFELLER PLAZA,NEW YORK CITY,NY,New York,5/26/2020
Consummated/Effective,5/11/2020,Relocation,2020-SO-Relocation-312842,"Rosebud, Texas Branch",402 MAIN,ROSEBUD,TX,Milam,2/13/2020
Receipt,5/12/2020,Business Combinations,2020-CE-Combination-314530, , , , , ,6/10/2020
Receipt,5/12/2020,Business Combinations,2020-NE-Combination-314690, , , , , ,5/19/2020
Approved,5/12/2020,Relocation,2020-HQ-Relocation-313136, , , , , ,3/7/2020
Receipt,5/12/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314478, , , , , , 
Receipt,5/12/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314479, , , , , , 
Consummated/Effective,5/12/2020,Branch Closings,2019-LB-BranchClosing-311296,Hawk's Prairie - Safeway,1243 MARVIN ROAD N.E.,LACEY,WA,Thurston, 
Approved,5/12/2020,Relocation,2020-HQ-Relocation-313145,None Given,579 Boylston Street,Boston,MA,Suffolk,3/7/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314199,Pacific Highway and SW Dartmouth Street,SEC Pacific Hwy aka Hwy 99 W and SW Dartmouth St,Tigard,OR,Washington,5/8/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314222,Pentagon City,SEC South Hayes Street and 12th Street South,Arlington,VA,Arlington,5/9/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314198,Rose Crossing,SWC North Rose Avenue and Lockwood Street,Oxnard,CA,Ventura,5/8/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314221,White Oak Shopping Center,NEC New Hampshire Avenue aka Rte 650 and Lockwood Drive,Silver Spring,MD,Montgomery,5/9/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314215,Willlingboro Route 130,SWC Burlington Pike aka Route 130 and Edgewater Blvd,Willingboro,NJ,Burlington,5/9/2020
Approved,5/12/2020,Branch Establishment,2020-LB-BranchNew-314262,Wyandanch Village,SEC Station Drive and Straight Path,Wyandanch,NY,Suffolk,5/8/2020
Receipt,5/13/2020,215a-3: Mergers with Non-Bank Affiliates,2020-NE-215a3-314513, , , , , , 
Receipt,5/13/2020,Business Combinations,2020-CE-Combination-314103, , , , , ,6/12/2020
Approved,5/13/2020,Business Combinations,2020-LB-Combination-314186, , , , , ,5/8/2020
Approved,5/13/2020,Relocation,2020-LB-Relocation-314205,Cache Valley Mall Branch,1320 NORTH MAIN STREET,LOGAN,UT,Cache,5/11/2020
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-314510,Diablo Ave,900 DIABLO AVE,NOVATO,CA,Marin, 
Receipt,5/13/2020,Branch Closings,2020-LB-BranchClosing-314510,Diablo Ave,900 DIABLO AVE,NOVATO,CA,Marin, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313197,Eppley Airport,"4501 ABBOTT DRIVE, SUITE 2400",OMAHA,NE,Douglas, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313198,Hasbrouck Heights,181 BOULEVARD,HASBROUCK HEIGHTS,NJ,Bergen, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313196,Kendrick Office,501 EAST MAIN STREET,KENDRICK,ID,Latah, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-314515,Laguna Niguel Marketplace Branch,27320 ALICIA PARKWAY,LAGUNA NIGUEL,CA,Orange, 
Receipt,5/13/2020,Branch Closings,2020-LB-BranchClosing-314515,Laguna Niguel Marketplace Branch,27320 ALICIA PARKWAY,LAGUNA NIGUEL,CA,Orange, 
Receipt,5/13/2020,Branch Establishment,2020-LB-BranchNew-314507,Maple Avenue Shopping Center,SEC Maple Avenue East aka Hwy 123 and Glyndon Street SE,Vienna,VA,Fairfax,6/12/2020
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313201,Mission Oaks Boulevard Branch,5275 MISSION OAK BOULEVARD,CAMARILLO,CA,Ventura, 
Receipt,5/13/2020,Branch Closings,2020-LB-BranchClosing-314516,Norristown,43 EAST MAIN STREET,NORRISTOWN,PA,Montgomery, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313187,Pocatello Main Office,333 SOUTH MAIN STREET,POCATELLO,ID,Bannock, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313190,Texas A & M Corpus Christi,"6300 OCEAN DRIVE, UNIVERSITY CENTER, ROOM 108",CORPUS CHRISTI,TX,Nueces, 
Receipt,5/13/2020,Branch Establishment,2020-LB-BranchNew-314508,Tysons Greensboro,SWC Greensboro Drive and International Drive aka Hwy 684,McLean,VA,Fairfax,6/12/2020
Approved,5/13/2020,Relocation,2020-LB-Relocation-314152,University,1300 NE 45TH STREET,SEATTLE,WA,King,5/5/2020
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313189,Wheatland Branch,874 GILCHRIST STREET,WHEATLAND,WY,Platte, 
Consummated/Effective,5/13/2020,Branch Closings,2020-LB-BranchClosing-313191,Wilshire and Western,3800 WILSHIRE BOULEVARD,LOS ANGELES,CA,Los Angeles, 
Approved,5/14/2020,Business Combinations,2020-SO-Combination-313656, , , , , ,4/4/2020
Approved,5/14/2020,Business Combinations,2020-CE-Combination-314183, , , , , ,5/9/2020
Receipt,5/14/2020,Change in Bank Control,2020-NE-CBCA-314526, , , , , , 
Approved,5/14/2020,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463, , , , , , 
Consummated/Effective,5/14/2020,Subsidiaries & Equities,2020-HQ-Subs&Equities-314463, , , , , , 
Consummated/Effective,5/14/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314645, , , , , , 
Receipt,5/14/2020,Branch Establishment,2020-LB-BranchNew-314454,Boston - Nubian Square,2181 Washington Street,Roxbury,MA,Suffolk,6/13/2020
Receipt,5/14/2020,Branch Closings,2020-LB-BranchClosing-314536,Broad and Erie,3711 Germantown Avenue,Philadelphia,PA,Philadelphia, 
Receipt,5/14/2020,Relocation,2020-LB-Relocation-314535,Broad and Erie,3711 Germantown Avenue,Philadelphia,PA,Philadelphia,6/13/2020
Withdrawn,5/14/2020,Relocation,2020-LB-Relocation-314535,Broad and Erie,3711 Germantown Avenue,Philadelphia,PA,Philadelphia,6/13/2020
Consummated/Effective,5/14/2020,Branch Closings,2020-LB-BranchClosing-313273,Marble Hill Office,107 HIGH STREET,MARBLE HILL,MO,Bollinger, 
Receipt,5/14/2020,Relocation,2020-LB-Relocation-314533,South Hills,1248 South Atherton Street,State College,PA,Centre,5/29/2020
Consummated/Effective,5/14/2020,Branch Closings,2020-LB-BranchClosing-313221,Westinghouse,"1000 WESTINGHOUSE DRIVE, SUITE 106A",CRANBERRY TOWNSHIP,PA,Butler, 
Consummated/Effective,5/14/2020,Branch Closings,2020-LB-BranchClosing-313274,Wheaton Branch,"MAIN & REASOR STREETS, P. O. BOX 309",WHEATON,MO,Barry, 
Consummated/Effective,5/15/2020,5.53 Substantial Change in Assets,2020-HQ-5.53-313605, , , , , , 
Consummated/Effective,5/15/2020,Business Combinations,2019-WE-Combination-312496, , , , , ,2/1/2020
Consummated/Effective,5/15/2020,Business Combinations,2019-CE-Combination-312523, , , , , ,2/1/2020
Consummated/Effective,5/15/2020,Business Combinations,2020-SO-Combination-313794, , , , , ,4/16/2020
Consummated/Effective,5/15/2020,Business Combinations,2020-CE-Combination-314287, , , , , ,5/8/2020
Approved,5/15/2020,Change in Bank Control,2020-NE-CBCA-314526, , , , , , 
Consummated/Effective,5/15/2020,Change in Bank Control,2020-NE-CBCA-314526, , , , , , 
Consummated/Effective,5/15/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314643, , , , , , 
Receipt,5/15/2020,Relocation,2020-LB-Relocation-314542,32nd and Park Avenue Branch,475 PARK AVENUE SOUTH,NEW YORK,NY,New York,6/14/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314544,35th & Southern Branch,6020 SOUTH 35TH AVENUE,PHOENIX,AZ,Maricopa, 
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314545,60th and Greenfield Branch,4330 EAST JUANITA AVENUE,MESA,AZ,Maricopa, 
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314491,75th & Cactus Road Branch,7550 WEST CACTUS ROAD,PEORIA,AZ,Maricopa, 
Receipt,5/15/2020,Branch Establishment,2020-LB-BranchNew-314540,Bellevue,SEC Highway 70 S and Coley Davis Road,Nashville,TN,Davidson,6/12/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313147,Broad & Loudon,4753 NORTH BROAD STREET,PHILADELPHIA,PA,Philadelphia, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313148,Brookgate Branch Office,15344 SNOW ROAD,BROOKPARK,OH,Cuyahoga, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313154,Brownsboro Road,2790 BROWNSBORO ROAD,LOUISVILLE,KY,Jefferson, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313155,Carroll Valley,815 WAYNESBORO PIKE,FAIRFIELD,PA,Adams, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313156,Churubusco,101 NORTH LINE STREET,CHURUBUSCO,IN,Whitley, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313246,Collingswood,627 HADDON AV,COLLINGSWOOD,NJ,Camden, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313157,Colonial,1715 W. MT. HOPE,LANSING,MI,Ingham, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313219,Colts Neck,400 Route 34 North,Colts Neck,NJ,Monmouth, 
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314488,Cooper & Ray,"INTERSECTION COOPER & RAY, LOT 1, COOPER CROSSING SHPNG CTR",CHANDLER,AZ,Maricopa, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313238,Cranford,245-249 North Avenue West,Cranford,NJ,Union, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-314641,Cynthiana Downtown Branch,101 East Pike Street,Cynthiana,KY,Harrison, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313217,"Eastpointe Shopping Plaza, 2345 Highway 36",2345 Highway 36,Atlantic Highlands,NJ,Monmouth, 
Approved,5/15/2020,Branch Establishment,2020-LB-BranchNew-314259,Fairway,NWC Shawnee Mission Pkwy aka US Hwy 169 and Norwood St,Fairway,KS,Johnson,5/14/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313239,Fanwood,328 South Avenue,Fanwood,NJ,Union, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313158,Finksburg,2926 Baltimore Blvd,FINKSBURG,MD,Carroll, 
Approved,5/15/2020,Branch Establishment,2020-LB-BranchNew-314244,Foothill Village,1414 Foothill Drive #5,Salt Lake City,UT,Salt Lake,5/13/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313159,Fort Pierce Indian River,603 NORTH INDIAN RIVER DRIVE,FORT PIERCE,FL,St. Lucie, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313236,Freehold,31 East Main Street,Freehold,NJ,Monmouth, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313160,Greenspring,10801 FALLS ROAD,LUTHERVILLE,MD,Baltimore, 
Receipt,5/15/2020,Branch Establishment,2020-LB-BranchNew-314539,Hamburg Place,1808 Alysheba Way,Lexington,KY,Fayette,6/14/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313161,Laurel Lake Office,200 LAUREL LAKE DRIVE,HUDSON,OH,Summit, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313244,Medford Office,99 HARTFORD RD,MEDFORD,NJ,Burlington, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313167,Media Branch,1114 W State St,Media,PA,Delaware, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313245,Ocean City Home Bk - Egg Harbor City Office,801 White Horse Pike,Egg Harbor City,NJ,Atlantic, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313243,Ocean City Home Bk - Ventnor Branch,6302 Ventnor Avenue,Ventnor,NJ,Atlantic, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313241,OceanFirst Bk - 73 Broad Street Branch,110 West Front Street,Red Bank,NJ,Monmouth, 
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313242,Oceanfirst Bk - Long Branch,52 Centennial Drive,Long Branch,NJ,Monmouth, 
